Database ID,Date,Observers,Survey Type,Start Time,End Time,Survey Notes,Method,Sky Code,Counts by,Waypoint Number,Latitude,Longitude,Colony Name,Photo Numbers,Colony Notes,Species Code,Nest Count,Adult Count,Fledling Count
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,9,26.77478,80.91219,Clewiston Spit,1806-1815,,ROSP,0,1,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,10,26.76642,80.91293,Clewiston Spit 2,1816-1823,,GREG,10,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,11,26.85907,81.01299,Moore Haven East,1824-1830,,GREG,22,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,12,26.92278,81.07278,Moore Haven North,1831-1835,"Don't think this was a colony, just foraging birds. ",GREG,0,12,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,13,26.9446,81.01167,Moonshine Bay 1,1836-1839,,GREG,10,33,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,14,26.96582,81.04423,Moonshine Bay 2,1840-1854,,GREG,18,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,14,26.96582,81.04423,Moonshine Bay 2,1840-1854,,ROSP,0,2,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,15,26.58151,81.03925,Lakeport Marina,1855-1864,,GREG,43,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,16,27.02503,81.05777,Gator Farm,1865-1869,,GREG,0,4,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,17,27.18596,80.83474,Eagle Bay Island,1870-1876,,SMWT,0,38,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,A. Fussell,22,26.43298,80.50561,Little Bear Beach,,"Originally thought to be two different little bear beach coloines, but later corrected to just one",GREG,15,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,A. Fussell,23,26.43041,80.50644,Little Bear Beach,,"Originally thought to be two different little bear beach coloines, but later corrected to just one",GREG,11,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,A. Fussell,24,26.43924,80.53676,Clewiston Spit 2,,,GREG,10,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,A. Fussell,25,26.46996,80.41898,Pahokee,,,GREG,17,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,A. Fussell,26,26.4643,80.54493,Clewiston Spit,,,ROSP,3,,
